District,registered voters,Total population,,DIST UPPER
Achham,257477,127742,,ACHHAM
Arghakhanchi,197632,126699,,ARGHAKHANCHI
Baglung,268613,156802,,BAGLUNG
Baitadi,250898,124824,,BAITADI
Bajhang,195159,97610,,BAJHANG
Bajura,134912,64950,,BAJURA
Banke,491313,246078,,BANKE
Bara,687708,333678,,BARA
Bardiya,426576,253185,,BARDIYA
Bhaktapur,304651,161529,,BHAKTAPUR
Bhojpur,182459,105553,,BHOJPUR
Chitwan,579984,313002,,CHITAWAN
Dadeldhura,142094,75780,,DADELDHURA
Dailekh,261770,132965,,DAILEKH
Dang,552583,291150,,DANG
Darchula,133274,72906,,DARCHULA
Dhading,336067,206002,,DHADING
Dhankuta,163412,95367,,DHANKUTA
Dhanusa,754777,389386,,DHANUSHA
Dolakha,186557,133482,,DOLAKHA
Dolpa,36700,16703,,DOLPA
Doti,211746,100887,,DOTI
Gorkha,271061,169046,,GORKHA
Gulmi,280160,180775,,GULMI
Humla,50858,24562,,HUMLA
Ilam,290254,189274,,ILAM
Jajarkot,171304,78947,,JAJARKOT
Jhapa,812650,510216,,JHAPA
Jumla,108921,54677,,JUMLA
Kailali,775709,403280,,KAILALI
Kalikot,136948,61028,,KALIKOT
Kanchanpur,451248,235735,,KANCHANPUR
Kapilbastu,571936,286548,,KAPILBASTU
Kaski,492098,224811,,KASKI
Kathmandu,1744240,559400,,KATHMANDU
Kavrepalanchok,381937,230849,,KABHREPALANCHOK
Khotang,206312,115644,,KHOTANG
Lalitpur,468132,213073,,LALITPUR
Lamjung,167724,105992,,LAMJUNG
Mahottari,627580,308404,,MAHOTTARI
Makwanpur,420477,227759,,MAKAWANPUR
Manang,6538,5095,,MANANG
Morang,965370,563870,,MORANG
Mugu,55286,27435,,MUGU
Mustang,13452,8263,,MUSTANG
Myagdi,113641,71463,,MYAGDI
Nawalparasi,643508,369894,,NAWALPARASI
Nuwakot,277471,185782,,NUWAKOT
Okhaldhunga,147984,91508,,OKHALDHUNGA
Palpa,261180,162253,,PALPA
Panchthar,191817,116626,,PANCHTHAR
Parbat,146590,99243,,PARBAT
Parsa,601017,280211,,PARSA
Pyuthan,228102,127447,,PYUTHAN
Ramechhap,202646,134620,,RAMECHHAP
Rasuwa,43300,27756,,RASUWA
Rautahat,686722,323450,,RAUTAHAT
Rolpa,224506,114243,,ROLPA
Rukum,208567,101932,,RUKUM
Rupandehi,880196,458616,,RUPANDEHI
Salyan,242444,125256,,SALYAN
Sankhuwasabha,158742,96657,,SANKHUWASABHA
Saptari,639284,331462,,SAPTARI
Sarlahi,769729,366605,,SARLAHI
Sindhuli,296192,168247,,SINDHULI
Sindhupalchok,287798,198681,,SINDHUPALCHOK
Siraha,637328,331596,,SIRAHA
Solukhumbu,105886,61746,,SOLUKHUMBU
Sunsari,763487,421159,,SUNSARI
Surkhet,350804,184399,,SURKHET
Syangja,289148,191253,,SYANGJA
Tanahu,323288,194471,,TANAHU
Taplejung,127461,70778,,TAPLEJUNG
Terhathum,101577,60704,,TERHATHUM
Udayapur,317532,175461,,UDAYAPUR
