Prov_ID,Province,Population,Population Density
1,Badakhshan,966789,22.2
2,Badghes,504185,24.3
3,Baghlan,926969,52.1
4,Balkh,1353626,80.7
5,Bamyan,454633,25.4
6,Daykundi,468178,28.1
7,Farah,515973,10.4
8,Faryab,1015335,49
9,Ghazni,1249376,57.4
10,Ghor,701653,18.9
11,Helmand,940237,15.9
12,Herat,1928327,35.1
13,Jawzjan,549900,49.5
14,Kabul,4523718,971.7
15,Kandahar,1252786,23.2
16,Kapisa,448245,238.2
17,Khost,584075,136.3
18,Kunarha,458130,94.5
19,Kunduz,1029473,130.3
20,Laghman,452922,118.1
21,Logar,398535,90.7
22,Wardak,1545448,208.9
23,Nangarhar,167863,4.1
24,Nimroz,150391,16.7
25,Noristan,441883,23.2
26,Paktika,561200,106.4
27,Paktya,156001,41.8
28,Panjsher,675795,120.9
29,Parwan,394487,30.6
30,Samangan,569043,37.3
31,Sar-e-Pul,1000336,81.2
32,Takhar,356364,32.7
33,Uruzgan,606077,57.3
34,Zabul,309192,17.8
